Code,LifeExpec
ABW,75.723
AFE,63.31385599
AFG,62.575
AFW,57.22637273
AGO,62.261
ALB,76.989
ARB,70.92335959
ARE,78.946
ARG,75.892
ARM,72.173
ATG,78.841
AUS,83.2
AUT,81.19268293
AZE,66.868
BDI,61.566
BEL,80.79512195
BEN,60.088
BFA,59.731
BGD,71.968
BGR,73.60731707
BHR,79.174
BIH,76.225
BLR,74.22682927
BLZ,72.854
BMU,82.05609756
BOL,64.467
BRA,74.009
BRB,77.393
BRN,74.795
BTN,71.609
BWA,65.647
CAF,54.604
CAN,81.74878049
CEB,76.14403428
CHE,83.1
CHI,81.264
CHL,79.377
CHN,78.077
CIV,59.032
CMR,60.833
COL,74.769
COM,64.166
CPV,74.808
CRI,79.277
CSS,72.57488244
CUB,77.567
CUW,78.78473171
CYP,81.391
CZE,78.22682927
DEU,80.94146341
DJI,62.694
DNK,81.55121951
DOM,72.889
DZA,74.453
EAP,75.93624944
EAR,70.03012812
EAS,76.76268134
ECA,72.25961847
ECS,77.02532399
ECU,72.153
EMU,81.53712191
ERI,67.133
ESP,82.33414634
EST,78.34634146
ETH,65.371
EUU,80.46503667
FCS,61.75956099
FIN,82.13170732
FJI,67.924
FRA,82.17560976
FRO,83.09268293
GAB,66.531
GBR,80.90243902
GEO,72.765
GHA,64.114
GIB,82.198
GIN,59.327
GNB,59.999
GNQ,60.708
GRC,81.08780488
GRD,74.924
GRL,71.40463415
GTM,71.797
GUM,76.612
GUY,68.486
HIC,80.20840487
HND,71.462
HPC,62.76172018
HRV,77.72439024
HTI,64.052
HUN,75.61707317
IBD,73.39793576
IBT,70.82550673
IDA,63.58904063
IDB,61.00472552
IDN,68.808
IDX,64.89182503
IMN,80.588
IND,70.15
IRL,82.20487805
IRQ,69.123
ISL,83.06585366
ISR,82.7
ITA,82.34390244
JAM,71.869
JOR,75.184
JPN,84.61560976
KAZ,71.37
KEN,62.675
KGZ,71.8
KHM,70.416
KIR,67.266
KWT,76.92
LAC,72.83031323
LAO,68.497
LBN,77.804
LBR,60.948
LBY,72.472
LCA,73.416
LCN,73.03840927
LDC,64.63474279
LIC,62.87046812
LIE,81.80731707
LKA,76.393
LMC,68.63520936
LMY,70.76617707
LSO,54.693
LTE,76.72506202
LTU,74.92926829
LUX,81.74146341
LVA,75.38780488
MAF,80.149
MAR,73.92
MDA,70.166
MDG,65.182
MDV,79.875
MEA,72.95107906
MEX,70.133
MIC,71.7095062
MKD,75.69317073
MLI,58.633
MLT,82.65365854
MMR,66.797
MNA,72.172697
MNE,75.93170732
MNG,72.141
MOZ,61.172
MRT,64.532
MUS,74.17707317
MWI,63.717
MYS,75.938
NAC,77.74116282
NAM,62.829
NCL,80.83495122
NER,61.451
NGA,52.887
NIC,71.795
NLD,81.4097561
NOR,83.2097561
NPL,69.246
NZL,82.05609756
OED,79.00852411
OMN,74.757
OSS,68.25018412
PAK,66.269
PAN,76.657
PER,73.665
PHL,72.119
PNG,65.787
POL,76.6
PRE,60.24953184
PRI,78.041
PRT,80.97560976
PRY,73.182
PSE,74.403
PSS,69.47061007
PST,80.14748172
PYF,82.217
QAT,79.099
ROU,74.35365854
RUS,71.33878049
RWA,66.774
SAS,69.74833092
SAU,76.239
SDN,65.614
SEN,68.006
SGP,83.74390244
SLB,70.199
SLE,59.763
SLV,71.061
SOM,55.967
SRB,74.22926829
SSA,60.84748962
SSD,55.48
SSF,60.84889125
SST,69.07364652
STP,67.785
SUR,72.561
SVK,76.86585366
SVN,80.53170732
SWE,82.40731707
SWZ,59.692
SYC,77.23658537
SYR,72.14
TCA,75.001
TCD,52.777
TEA,75.96919243
TEC,72.75084487
TGO,61.035
THA,79.274
TJK,67.994
TKM,68.687
TLA,72.92797072
TLS,68.475
TMN,72.1463762
TON,70.928
TSA,69.74833092
TSS,60.84889125
TTO,74.406
TUN,75.292
TUR,75.85
TUV,64.382
TZA,66.408
UGA,62.851
UKR,71.18512195
UMC,75.84591492
URY,78.43
USA,77.2804878
UZB,70.331
VCT,72.126
VGB,75.849
VIR,79.8195122
VNM,75.378
VUT,70.299
WLD,72.26501127
WSM,72.768
XKX,76.567
ZAF,65.252
ZMB,62.38
ZWE,61.124