Code,PibPerCapita
ABW,"30,253.28"
AFE,"1,574.98"
AFG,485.67
AFW,"1,704.14"
AGO,"3,289.64"
ALB,"5,287.66"
AND,"41,791.97"
ARB,"6,504.15"
ARE,"43,839.32"
ARG,"11,795.16"
ARM,"4,220.54"
ASM,"11,521.61"
ATG,"16,679.59"
AUS,"57,180.78"
AUT,"51,461.43"
AZE,"4,739.84"
BDI,238.78
BEL,"47,519.55"
BEN,"1,241.83"
BFA,804.50
BGD,"1,698.13"
BGR,"9,446.70"
BHR,"24,085.96"
BHS,"32,376.51"
BIH,"6,070.35"
BLR,"6,360.06"
BLZ,"5,001.42"
BMU,"113,023.19"
BOL,"3,548.59"
BRA,"9,151.38"
BRB,"17,745.26"
BRN,"31,628.48"
BTN,"3,243.48"
BWA,"7,503.88"
CAF,475.95
CAN,"46,548.52"
CEB,"16,045.95"
CHE,"86,388.40"
CHI,
CHL,"15,888.14"
CHN,"9,905.34"
CIV,"2,314.05"
CMR,"1,585.24"
COD,467.07
COG,"2,169.99"
COL,"6,729.58"
COM,"1,428.29"
CPV,"3,616.46"
CRI,"12,485.42"
CSS,"10,234.21"
CUB,"8,824.19"
CUW,"19,630.89"
CYM,"86,059.74"
CYP,"29,334.11"
CZE,"23,419.74"
DEU,"47,950.18"
DJI,"3,141.86"
DMA,"7,687.46"
DNK,"61,591.93"
DOM,"8,050.64"
DZA,"4,142.02"
EAP,"7,924.23"
EAR,"3,452.38"
EAS,"11,297.60"
ECA,"8,213.36"
ECS,"25,290.33"
ECU,"6,295.93"
EGY,"2,444.29"
EMU,"40,038.19"
ERI,
ESP,"30,349.75"
EST,"23,052.30"
ETH,771.52
EUU,"35,737.30"
FCS,"1,770.23"
FIN,"49,964.50"
FJI,"6,317.41"
FRA,"41,572.49"
FRO,"62,918.15"
FSM,"3,289.64"
GAB,"7,959.01"
GBR,"43,646.95"
GEO,"4,722.79"
GHA,"2,260.86"
GIB,
GIN,955.11
GMB,679.76
GNB,802.77
GNQ,"10,005.62"
GRC,"19,747.34"
GRD,"10,466.88"
GRL,"54,270.82"
GTM,"4,478.42"
GUM,"36,556.67"
GUY,"6,145.82"
HIC,"45,240.56"
HKG,"46,165.86"
HND,"2,492.87"
HPC,984.86
HRV,"15,227.56"
HTI,"1,479.35"
HUN,"16,427.37"
IBD,"6,366.56"
IBT,"5,080.88"
IDA,"1,313.77"
IDB,"1,759.50"
IDN,"3,893.86"
IDX,"1,088.07"
IMN,"89,112.67"
IND,"1,996.92"
INX,
IRL,"79,068.97"
IRN,"5,520.31"
IRQ,"5,915.85"
ISL,"74,469.80"
ISR,"42,063.45"
ITA,"34,605.26"
JAM,"5,359.99"
JOR,"4,308.15"
JPN,"39,808.17"
KAZ,"9,812.63"
KEN,"1,794.09"
KGZ,"1,308.14"
KHM,"1,512.13"
KIR,"1,727.85"
KNA,"20,567.50"
KOR,"31,616.84"
KWT,"33,399.06"
LAC,"8,408.17"
LAO,"2,569.09"
LBN,"8,058.44"
LBR,710.27
LBY,"7,877.12"
LCA,"11,353.72"
LCN,"8,905.58"
LDC,"1,053.01"
LIC,674.35
LIE,"180,366.72"
LKA,"4,059.21"
LMC,"2,267.55"
LMY,"4,933.14"
LSO,"1,192.48"
LTE,"9,805.57"
LTU,"19,176.81"
LUX,"117,197.48"
LVA,"17,856.31"
MAC,"81,019.47"
MAF,
MAR,"3,226.98"
MCO,"185,978.61"
MDA,"4,230.36"
MDG,523.95
MDV,"10,279.08"
MEA,"7,502.18"
MEX,"9,686.98"
MHL,"3,793.55"
MIC,"5,401.50"
MKD,"6,108.74"
MLI,894.80
MLT,"30,672.29"
MMR,"1,250.17"
MNA,"3,447.44"
MNE,"8,845.91"
MNG,"4,156.85"
MNP,"22,886.67"
MOZ,503.32
MRT,"1,670.20"
MUS,"11,208.34"
MWI,544.59
MYS,"11,380.08"
NAC,"61,391.27"
NAM,"5,588.39"
NCL,"36,382.49"
NER,570.72
NGA,"2,027.78"
NIC,"2,014.58"
NLD,"53,018.63"
NOR,"82,267.81"
NPL,"1,178.53"
NRU,"11,614.67"
NZL,"43,306.07"
OED,"39,372.84"
OMN,"18,947.37"
OSS,"14,354.45"
PAK,"1,482.21"
PAN,"15,545.00"
PER,"6,957.79"
PHL,"3,252.11"
PLW,"15,895.26"
PNG,"2,801.37"
POL,"15,468.48"
PRE,"1,462.37"
PRI,"31,604.70"
PRK,
PRT,"23,551.05"
PRY,"5,782.78"
PSE,"3,562.33"
PSS,"4,340.02"
PST,"45,492.80"
PYF,
QAT,"65,907.95"
ROU,"12,398.98"
RUS,"11,287.36"
RWA,783.64
SAS,"1,894.01"
SAU,"23,337.02"
SDN,740.75
SEN,"1,458.07"
SGP,"66,679.05"
SLB,"2,411.86"
SLE,533.99
SLV,"4,052.62"
SMR,"48,996.59"
SOM,389.83
SRB,"7,252.40"
SSA,"1,625.82"
SSD,
SSF,"1,627.11"
SST,"13,001.16"
STP,"1,953.51"
SUR,"6,938.09"
SVK,"19,380.51"
SVN,"26,104.10"
SWE,"54,589.06"
SWZ,"4,105.89"
SXM,"29,160.10"
SYC,"15,994.82"
SYR,"1,268.24"
TCA,"29,553.14"
TCD,726.15
TEA,"8,012.15"
TEC,"8,876.15"
TGO,901.52
THA,"7,296.88"
TJK,853.22
TKM,"6,967.38"
TLA,"8,743.53"
TLS,"1,249.14"
TMN,"3,446.06"
TON,"4,740.70"
TSA,"1,894.01"
TSS,"1,627.11"
TTO,"17,037.86"
TUN,"3,680.89"
TUR,"9,454.35"
TUV,"3,701.71"
TZA,"1,042.84"
UGA,770.60
UKR,"3,096.56"
UMC,"9,468.93"
URY,"18,703.86"
USA,"63,064.42"
UZB,"1,597.07"
VCT,"7,361.40"
VEN,
VGB,
VIR,"36,448.26"
VNM,"2,566.45"
VUT,"3,125.40"
WLD,"11,347.34"
WSM,"4,187.50"
XKX,"4,384.05"
YEM,964.26
ZAF,"7,005.10"
ZMB,"1,516.37"
ZWE,"1,254.64"